Participants,NA_slow,NA_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast
1,4.43113039559261,3.4031626817387,4.48507885601075,4.81831760143018,NaN,NaN
2,2.6919793193256,2.35979250243518,4.18932685305915,NaN,5.26060409041507,5.17658300679235
3,5.72577620529766,6.26777083156551,8.41080367969179,6.89697383028183,NaN,NaN
4,2.51969502355612,2.55216329075741,3.91405372439164,4.08318867409101,4.7863974390408,4.94890449035358
5,3.62435192472432,3.74308897512171,3.69444145012836,4.23156950067877,4.80626956008619,4.96306942699636
6,4.67747253130722,6.62659957735415,5.92279346213241,4.85877146223718,NaN,NaN
7,2.99571914385162,2.41138257179441,4.26550617890669,4.00364966227968,3.35917592458847,3.82211922471656
8,7.37609788076075,5.75261436399735,6.68414013700816,6.13367147293862,NaN,8.28958551146775
9,3.2917430686916,3.53556822433775,3.77261335282662,NaN,3.10922328719069,NaN
10,4.53078084780917,4.88514768582074,6.22894306566589,6.70650659686134,6.35491555829188,6.21534716642649
11,2.65000624357119,2.77608676340343,3.42996775163068,3.48518053597487,NaN,3.60667172906438
12,4.30957425715896,3.916834692589,4.55580851213857,4.46379988153609,5.01448935641076,4.47443472639302
13,1.97267539608333,2.36793171985988,3.41669510538057,4.44092060980128,4.72246276089969,3.90018855355065
14,3.69661633059734,4.05892087084293,3.9037119133735,3.6579727842814,4.25791412837439,4.84129601407282
15,3.28903997233758,3.70409592351108,4.25432737831869,3.92712718080666,4.77938997807948,4.42464965977562
16,7.24055977701004,6.39223998998435,6.091906656196,2.88252492163601,8.04088637042684,NaN
17,5.29203881904996,5.41899670273408,3.45768564438963,4.12930715808721,4.99552393194503,5.65091330192587
18,NaN,NaN,6.64565748434338,6.35359421824139,8.19467358621191,8.41110183767675
19,2.93504514786176,3.14056246943928,2.64656438079838,2.9629250387122,3.29620295238835,6.1557814549808
20,3.57236907087919,3.74455201773034,4.22117887781166,4.26633780401651,5.64229973566361,5.73237376814347
